                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.97822,                0.70736,                 1.1145,                0.72795,                 0.5696,                0.63617,                0.40191,                 1.4781,                 1.2666,                 1.4545,               0.006931,               0.006931,               0.006931
                     95,                0.98403,                0.70286,                  1.111,                0.76648,                0.55874,                0.63725,                0.40439,                 1.4647,                 1.2693,                   1.44,               0.006898,               0.006898,               0.006898
                     96,                0.97126,                0.69047,                 1.1061,                0.78387,                0.53948,                0.63638,                0.40727,                 1.4675,                 1.2639,                 1.4446,               0.006865,               0.006865,               0.006865
                     97,                0.96382,                0.69177,                 1.1086,                0.73606,                0.57386,                0.63963,                0.41077,                 1.4597,                 1.2595,                  1.444,               0.006832,               0.006832,               0.006832
                     98,                0.96363,                0.69504,                 1.1053,                0.74663,                0.56071,                0.63913,                0.40989,                 1.4549,                 1.2484,                 1.4403,               0.006799,               0.006799,               0.006799
                     99,                 0.9633,                0.69486,                 1.0996,                0.74588,                0.57423,                0.63798,                0.40732,                 1.4612,                 1.2582,                 1.4416,               0.006766,               0.006766,               0.006766
                    100,                0.95992,                 0.6855,                 1.0947,                0.76792,                0.56255,                0.64687,                0.41015,                  1.465,                 1.2503,                  1.454,               0.006733,               0.006733,               0.006733
                    101,                0.95916,                0.68588,                 1.1001,                0.74366,                0.57125,                0.64288,                0.40906,                 1.4674,                 1.2602,                 1.4487,                 0.0067,                 0.0067,                 0.0067
                    102,                0.95808,                0.67992,                 1.0972,                0.76411,                0.55679,                0.64371,                 0.4067,                 1.4785,                 1.2606,                 1.4611,               0.006667,               0.006667,               0.006667
                    103,                0.94739,                0.68481,                 1.0924,                0.74763,                0.56274,                0.64673,                0.41012,                 1.4781,                 1.2558,                 1.4552,               0.006634,               0.006634,               0.006634
                    104,                0.94866,                0.67291,                 1.0922,                 0.7476,                0.56582,                 0.6418,                0.40813,                  1.471,                 1.2699,                 1.4492,               0.006601,               0.006601,               0.006601
                    105,                0.94915,                0.67541,                 1.0929,                 0.7191,                0.57276,                0.64065,                0.40684,                 1.4636,                 1.2618,                 1.4432,               0.006568,               0.006568,               0.006568
